TimeStamp,Athelete,activity,breathingrate,breathingratestatus,cadence,expiration,heartrate,heartratestatus,inspiration,minuteventilation,rrinterval,tidalvolume,
Thu Apr 09 08:34:11 CDT 2015,1006,0.0,10,15,0,null,70,32,null,0.0,null,0.0,
Thu Apr 09 08:34:12 CDT 2015,1006,0.0,10,15,0,null,163,32,24403,0.0,null,0.0,
Thu Apr 09 08:34:13 CDT 2015,1006,0.0,10,12,0,24357,70,32,null,0.0,null,0.0,
Thu Apr 09 08:34:14 CDT 2015,1006,0.67578125,10,12,0,null,70,32,24426,0.0,null,0.0,
Thu Apr 09 08:34:15 CDT 2015,1006,0.4765625,10,8,0,null,70,32,null,0.0,null,0.0,
Thu Apr 09 08:34:16 CDT 2015,1006,0.46875,10,8,56,24385,70,32,null,0.0,null,0.0,
Thu Apr 09 08:34:17 CDT 2015,1006,0.36328125,11,8,89,null,70,32,24430,9574.88,null,531.1999999999999,
Thu Apr 09 08:34:18 CDT 2015,1006,0.28515625,15,0,94,24360,70,40,null,9574.88,null,531.1999999999999,
Thu Apr 09 08:34:19 CDT 2015,1006,0.06640625,18,0,74,null,70,40,24374,14940.0,null,916.3199999999999,
Thu Apr 09 08:34:20 CDT 2015,1006,0.11328125,20,0,33,24353,70,32,null,14940.0,null,916.3199999999999,
Thu Apr 09 08:34:21 CDT 2015,1006,0.078125,22,0,0,null,70,32,24434,14780.64,null,265.59999999999997,
Thu Apr 09 08:34:22 CDT 2015,1006,0.046875,24,0,0,24393,70,32,null,14780.64,null,265.59999999999997,
Thu Apr 09 08:34:23 CDT 2015,1006,0.0,26,0,0,null,70,32,null,14395.519999999999,null,531.1999999999999,
Thu Apr 09 08:34:24 CDT 2015,1006,0.0,26,0,0,null,70,32,null,14395.519999999999,null,531.1999999999999,
Thu Apr 09 08:34:25 CDT 2015,1006,0.0,26,0,0,null,70,32,24433,14395.519999999999,null,531.1999999999999,
Thu Apr 09 08:34:26 CDT 2015,1006,0.0234375,26,0,0,24399,70,32,null,14395.519999999999,null,531.1999999999999,
Thu Apr 09 08:34:27 CDT 2015,1006,0.015625,25,0,0,null,70,32,null,12230.88,null,438.23999999999995,
Thu Apr 09 08:34:28 CDT 2015,1006,0.015625,24,0,0,null,70,32,24432,12230.88,null,438.23999999999995,
Thu Apr 09 08:34:29 CDT 2015,1006,0.0,23,0,0,24401,70,32,null,12230.88,null,438.23999999999995,
Thu Apr 09 08:34:30 CDT 2015,1006,0.015625,22,0,0,null,70,32,null,11341.119999999999,null,398.4,
Thu Apr 09 08:34:31 CDT 2015,1006,0.015625,22,0,0,null,70,32,null,11341.119999999999,null,398.4,
Thu Apr 09 08:34:32 CDT 2015,1006,0.015625,22,0,0,null,70,32,24435,11341.119999999999,null,398.4,
Thu Apr 09 08:34:33 CDT 2015,1006,0.015625,22,0,0,24405,70,34,null,11341.119999999999,null,398.4,
Thu Apr 09 08:34:34 CDT 2015,1006,0.0234375,22,0,0,null,70,34,null,10199.039999999999,null,385.12,
Thu Apr 09 08:34:35 CDT 2015,1006,0.02734375,21,0,0,null,70,34,24447,10199.039999999999,null,385.12,
Thu Apr 09 08:34:36 CDT 2015,1006,0.0234375,21,0,0,24402,70,34,null,10199.039999999999,null,385.12,
Thu Apr 09 08:34:37 CDT 2015,1006,0.01953125,20,0,0,null,70,34,null,10531.039999999999,null,584.3199999999999,
Thu Apr 09 08:34:38 CDT 2015,1006,0.0234375,21,0,0,null,70,34,24481,10531.039999999999,null,584.3199999999999,
Thu Apr 09 08:34:39 CDT 2015,1006,0.27734375,21,0,0,24427,70,32,24500,10531.039999999999,null,584.3199999999999,
Thu Apr 09 08:34:40 CDT 2015,1006,0.34375,21,0,0,24376,70,56,null,9747.52,null,703.8399999999999,
Thu Apr 09 08:34:41 CDT 2015,1006,0.4140625,21,0,0,null,70,48,null,13691.679999999998,null,1633.4399999999998,
Thu Apr 09 08:34:42 CDT 2015,1006,0.28125,21,0,0,null,70,48,24537,13691.679999999998,null,1633.4399999999998,
Thu Apr 09 08:34:43 CDT 2015,1006,0.078125,20,0,0,24512,70,48,null,13691.679999999998,null,1633.4399999999998,
Thu Apr 09 08:34:44 CDT 2015,1006,0.1015625,20,0,0,null,70,32,null,13691.679999999998,null,1633.4399999999998,
Thu Apr 09 08:34:45 CDT 2015,1006,0.171875,20,0,0,null,70,48,24541,11965.279999999999,null,318.71999999999997,
