TimeStamp,Value
Thu Apr 09 08:34:13 CDT 2015,24357
Thu Apr 09 08:34:16 CDT 2015,24385
Thu Apr 09 08:34:18 CDT 2015,24360
Thu Apr 09 08:34:20 CDT 2015,24353
Thu Apr 09 08:34:22 CDT 2015,24393
Thu Apr 09 08:34:26 CDT 2015,24399
Thu Apr 09 08:34:29 CDT 2015,24401
Thu Apr 09 08:34:33 CDT 2015,24405
Thu Apr 09 08:34:36 CDT 2015,24402
Thu Apr 09 08:34:39 CDT 2015,24427
Thu Apr 09 08:34:40 CDT 2015,24376
Thu Apr 09 08:34:43 CDT 2015,24512
Thu Apr 09 08:34:46 CDT 2015,24487
Thu Apr 09 08:34:48 CDT 2015,24306
Thu Apr 09 08:34:51 CDT 2015,24520
Thu Apr 09 08:34:53 CDT 2015,24501
Thu Apr 09 08:34:56 CDT 2015,24518
Thu Apr 09 08:35:03 CDT 2015,24368
Thu Apr 09 08:35:04 CDT 2015,24365
Thu Apr 09 08:35:07 CDT 2015,24475
Thu Apr 09 08:35:10 CDT 2015,24523
Thu Apr 09 08:35:12 CDT 2015,24515
Thu Apr 09 08:35:15 CDT 2015,24522
Thu Apr 09 08:35:18 CDT 2015,24523
Thu Apr 09 08:35:20 CDT 2015,24505
Thu Apr 09 08:35:22 CDT 2015,24509
Thu Apr 09 08:35:25 CDT 2015,24457
Thu Apr 09 08:35:28 CDT 2015,24422
Thu Apr 09 08:35:30 CDT 2015,24515
Thu Apr 09 08:35:33 CDT 2015,24486
Thu Apr 09 08:35:36 CDT 2015,24504
Thu Apr 09 08:35:39 CDT 2015,24428
Thu Apr 09 08:35:47 CDT 2015,24428
Thu Apr 09 08:35:54 CDT 2015,24322
Thu Apr 09 08:36:03 CDT 2015,24438
Thu Apr 09 08:36:06 CDT 2015,24449
Thu Apr 09 08:36:08 CDT 2015,24446
Thu Apr 09 08:36:13 CDT 2015,24425
Thu Apr 09 08:36:17 CDT 2015,24430
Thu Apr 09 08:36:19 CDT 2015,24449
Thu Apr 09 08:36:22 CDT 2015,24447
Thu Apr 09 08:36:25 CDT 2015,24443
