TimeStamp,Value
Thu Apr 09 08:34:12 CDT 2015,24403
Thu Apr 09 08:34:14 CDT 2015,24426
Thu Apr 09 08:34:17 CDT 2015,24430
Thu Apr 09 08:34:19 CDT 2015,24374
Thu Apr 09 08:34:21 CDT 2015,24434
Thu Apr 09 08:34:25 CDT 2015,24433
Thu Apr 09 08:34:28 CDT 2015,24432
Thu Apr 09 08:34:32 CDT 2015,24435
Thu Apr 09 08:34:35 CDT 2015,24447
Thu Apr 09 08:34:38 CDT 2015,24481
Thu Apr 09 08:34:39 CDT 2015,24500
Thu Apr 09 08:34:42 CDT 2015,24537
Thu Apr 09 08:34:45 CDT 2015,24541
Thu Apr 09 08:34:47 CDT 2015,24506
Thu Apr 09 08:34:51 CDT 2015,24540
Thu Apr 09 08:34:52 CDT 2015,24544
Thu Apr 09 08:34:55 CDT 2015,24550
Thu Apr 09 08:35:00 CDT 2015,24558
Thu Apr 09 08:35:03 CDT 2015,24403
Thu Apr 09 08:35:06 CDT 2015,24546
Thu Apr 09 08:35:09 CDT 2015,24549
Thu Apr 09 08:35:11 CDT 2015,24541
Thu Apr 09 08:35:14 CDT 2015,24545
Thu Apr 09 08:35:16 CDT 2015,24541
Thu Apr 09 08:35:19 CDT 2015,24558
Thu Apr 09 08:35:21 CDT 2015,24561
Thu Apr 09 08:35:24 CDT 2015,24543
Thu Apr 09 08:35:26 CDT 2015,24526
Thu Apr 09 08:35:29 CDT 2015,24545
Thu Apr 09 08:35:31 CDT 2015,24539
Thu Apr 09 08:35:34 CDT 2015,24539
Thu Apr 09 08:35:37 CDT 2015,24534
Thu Apr 09 08:35:46 CDT 2015,24473
Thu Apr 09 08:35:51 CDT 2015,24485
Thu Apr 09 08:36:00 CDT 2015,24476
Thu Apr 09 08:36:05 CDT 2015,24475
Thu Apr 09 08:36:07 CDT 2015,24476
Thu Apr 09 08:36:10 CDT 2015,24482
Thu Apr 09 08:36:16 CDT 2015,24447
Thu Apr 09 08:36:18 CDT 2015,24479
Thu Apr 09 08:36:21 CDT 2015,24482
Thu Apr 09 08:36:24 CDT 2015,24480
Thu Apr 09 08:36:27 CDT 2015,24473
Thu Apr 09 08:36:30 CDT 2015,24488
Thu Apr 09 08:36:32 CDT 2015,24487
Thu Apr 09 08:36:37 CDT 2015,24493
Thu Apr 09 08:36:40 CDT 2015,24489
Thu Apr 09 08:36:43 CDT 2015,24498
Thu Apr 09 08:36:46 CDT 2015,24497
Thu Apr 09 08:36:48 CDT 2015,24496
Thu Apr 09 08:36:51 CDT 2015,24490
Thu Apr 09 08:36:54 CDT 2015,24500
Thu Apr 09 08:36:56 CDT 2015,24478
Thu Apr 09 08:36:59 CDT 2015,24488
Thu Apr 09 08:37:01 CDT 2015,24483
Thu Apr 09 08:37:03 CDT 2015,24460
Thu Apr 09 08:37:04 CDT 2015,24469
Thu Apr 09 08:37:06 CDT 2015,24482
Thu Apr 09 08:37:09 CDT 2015,24500
Thu Apr 09 08:37:12 CDT 2015,24507
Thu Apr 09 08:37:15 CDT 2015,24501
