TimeStamp,Value
Thu Apr 09 08:34:11 CDT 2015,0.0
Thu Apr 09 08:34:12 CDT 2015,0.0
Thu Apr 09 08:34:13 CDT 2015,0.0
Thu Apr 09 08:34:14 CDT 2015,0.0
Thu Apr 09 08:34:15 CDT 2015,0.0
Thu Apr 09 08:34:16 CDT 2015,0.0
Thu Apr 09 08:34:17 CDT 2015,9574.88
Thu Apr 09 08:34:18 CDT 2015,9574.88
Thu Apr 09 08:34:19 CDT 2015,14940.0
Thu Apr 09 08:34:20 CDT 2015,14940.0
Thu Apr 09 08:34:21 CDT 2015,14780.64
Thu Apr 09 08:34:22 CDT 2015,14780.64
Thu Apr 09 08:34:23 CDT 2015,14395.519999999999
Thu Apr 09 08:34:24 CDT 2015,14395.519999999999
Thu Apr 09 08:34:25 CDT 2015,14395.519999999999
Thu Apr 09 08:34:26 CDT 2015,14395.519999999999
Thu Apr 09 08:34:27 CDT 2015,12230.88
Thu Apr 09 08:34:28 CDT 2015,12230.88
Thu Apr 09 08:34:29 CDT 2015,12230.88
Thu Apr 09 08:34:30 CDT 2015,11341.119999999999
Thu Apr 09 08:34:31 CDT 2015,11341.119999999999
Thu Apr 09 08:34:32 CDT 2015,11341.119999999999
Thu Apr 09 08:34:33 CDT 2015,11341.119999999999
Thu Apr 09 08:34:34 CDT 2015,10199.039999999999
Thu Apr 09 08:34:35 CDT 2015,10199.039999999999
Thu Apr 09 08:34:36 CDT 2015,10199.039999999999
Thu Apr 09 08:34:37 CDT 2015,10531.039999999999
Thu Apr 09 08:34:38 CDT 2015,10531.039999999999
Thu Apr 09 08:34:39 CDT 2015,10531.039999999999
Thu Apr 09 08:34:40 CDT 2015,9747.52
Thu Apr 09 08:34:41 CDT 2015,13691.679999999998
Thu Apr 09 08:34:42 CDT 2015,13691.679999999998
Thu Apr 09 08:34:43 CDT 2015,13691.679999999998
Thu Apr 09 08:34:44 CDT 2015,13691.679999999998
Thu Apr 09 08:34:45 CDT 2015,11965.279999999999
Thu Apr 09 08:34:46 CDT 2015,11965.279999999999
Thu Apr 09 08:34:47 CDT 2015,13837.76
Thu Apr 09 08:34:48 CDT 2015,13837.76
Thu Apr 09 08:34:49 CDT 2015,21832.32
Thu Apr 09 08:34:50 CDT 2015,21832.32
Thu Apr 09 08:34:51 CDT 2015,21832.32
Thu Apr 09 08:34:52 CDT 2015,22230.719999999998
Thu Apr 09 08:34:53 CDT 2015,22230.719999999998
Thu Apr 09 08:34:54 CDT 2015,24647.68
Thu Apr 09 08:34:55 CDT 2015,24647.68
Thu Apr 09 08:34:56 CDT 2015,24647.68
Thu Apr 09 08:34:57 CDT 2015,24647.68
Thu Apr 09 08:34:58 CDT 2015,24647.68
Thu Apr 09 08:34:59 CDT 2015,20012.96
Thu Apr 09 08:35:00 CDT 2015,20012.96
