TimeStamp,Value
Thu Apr 09 08:34:10 CDT 2015,1.0
Thu Apr 09 08:34:11 CDT 2015,0.4010416666666667
Thu Apr 09 08:34:12 CDT 2015,0.505859375
Thu Apr 09 08:34:13 CDT 2015,0.36328125
Thu Apr 09 08:34:14 CDT 2015,1.59765625
Thu Apr 09 08:34:15 CDT 2015,0.3580729166666667
Thu Apr 09 08:34:16 CDT 2015,0.69140625
Thu Apr 09 08:34:17 CDT 2015,0.4453125
Thu Apr 09 08:34:20 CDT 2015,3.015625
Thu Apr 09 08:34:38 CDT 2015,3.99609375
Thu Apr 09 08:34:39 CDT 2015,0.26953125
Thu Apr 09 08:34:40 CDT 2015,0.7890625
Thu Apr 09 08:34:41 CDT 2015,0.28515625
Thu Apr 09 08:34:44 CDT 2015,1.6484375
Thu Apr 09 08:34:45 CDT 2015,0.26953125
Thu Apr 09 08:34:46 CDT 2015,1.34765625
Thu Apr 09 08:34:47 CDT 2015,1.0
Thu Apr 09 08:34:49 CDT 2015,2.1484375
Thu Apr 09 08:34:50 CDT 2015,0.5703125
Thu Apr 09 08:34:52 CDT 2015,1.91796875
Thu Apr 09 08:34:54 CDT 2015,1.55078125
Thu Apr 09 08:34:55 CDT 2015,1.1328125
Thu Apr 09 08:34:59 CDT 2015,1.48828125
Thu Apr 09 08:35:00 CDT 2015,0.310546875
Thu Apr 09 08:35:01 CDT 2015,0.4348958333333333
Thu Apr 09 08:35:02 CDT 2015,0.51171875
Thu Apr 09 08:35:05 CDT 2015,3.00390625
Thu Apr 09 08:35:06 CDT 2015,0.494140625
Thu Apr 09 08:35:08 CDT 2015,1.1875
Thu Apr 09 08:35:09 CDT 2015,0.26953125
Thu Apr 09 08:35:10 CDT 2015,0.8515625
Thu Apr 09 08:35:13 CDT 2015,3.7265625
Thu Apr 09 08:35:15 CDT 2015,1.58203125
Thu Apr 09 08:35:16 CDT 2015,1.0625
Thu Apr 09 08:35:18 CDT 2015,1.7265625
Thu Apr 09 08:35:19 CDT 2015,0.826171875
Thu Apr 09 08:35:20 CDT 2015,0.2903645833333333
Thu Apr 09 08:35:21 CDT 2015,0.9609375
Thu Apr 09 08:35:22 CDT 2015,0.38671875
Thu Apr 09 08:35:23 CDT 2015,0.37890625
Thu Apr 09 08:35:24 CDT 2015,0.8046875
Thu Apr 09 08:35:25 CDT 2015,0.443359375
Thu Apr 09 08:35:26 CDT 2015,0.384765625
Thu Apr 09 08:35:27 CDT 2015,0.3190104166666667
Thu Apr 09 08:35:28 CDT 2015,0.3815104166666667
Thu Apr 09 08:35:31 CDT 2015,2.31640625
Thu Apr 09 08:35:32 CDT 2015,1.22265625
